sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10
-95.0,,335.0,-336.0,-57.0,-98.0,-35.0,-362.0,382.0,0.0
-48.0,,327.0,-372.0,-1.0,-197.0,-98.0,-646.0,311.0,0.0
-11.0,,340.0,-375.0,31.0,-69.0,-135.0,-609.0,220.0,0.0
-18.0,,319.0,-315.0,36.0,-813.0,-76.0,-764.0,195.0,0.0
11.0,,332.0,-252.0,37.0,-148.0,26.0,-606.0,236.0,0.0
47.0,,349.0,-211.0,42.0,-1110.0,96.0,-352.0,264.0,0.0
98.0,,353.0,-217.0,48.0,525.0,126.0,-136.0,239.0,0.0
145.0,,330.0,-262.0,61.0,-192.0,76.0,243.0,187.0,0.0
194.0,,322.0,-300.0,76.0,295.0,-11.0,249.0,141.0,0.0
232.0,,296.0,-335.0,83.0,-533.0,-68.0,376.0,63.0,0.0
272.0,,272.0,-337.0,98.0,-1147.0,-62.0,203.0,-38.0,0.0
296.0,,289.0,-303.0,126.0,192.0,-9.0,-51.0,-37.0,0.0
307.0,,273.0,-217.0,153.0,-401.0,41.0,-256.0,24.0,0.0
323.0,,275.0,-114.0,170.0,579.0,58.0,-626.0,82.0,0.0
298.0,,269.0,-14.0,187.0,-1062.0,63.0,-602.0,167.0,0.0
301.0,,257.0,58.0,213.0,-126.0,94.0,-672.0,248.0,0.0
296.0,,252.0,83.0,234.0,-341.0,106.0,-532.0,266.0,0.0
266.0,,243.0,70.0,209.0,-58.0,61.0,-386.0,227.0,0.0
240.0,,223.0,44.0,121.0,307.0,14.0,-310.0,264.0,0.0
211.0,,195.0,48.0,5.0,-811.0,5.0,-16.0,344.0,0.0
180.0,,182.0,59.0,-102.0,-68.0,-7.0,-24.0,343.0,0.0
138.0,,143.0,84.0,-176.0,-1158.0,-34.0,92.0,328.0,0.0
95.0,,116.0,107.0,-203.0,287.0,-59.0,11.0,357.0,0.0
56.0,,99.0,128.0,-193.0,-133.0,-55.0,-11.0,386.0,0.0
39.0,,72.0,134.0,-172.0,140.0,-18.0,138.0,359.0,0.0
13.0,,43.0,106.0,-152.0,-440.0,53.0,164.0,291.0,0.0
8.0,,19.0,70.0,-147.0,-725.0,144.0,417.0,225.0,0.0
5.0,,9.0,40.0,-157.0,308.0,170.0,310.0,162.0,0.0
12.0,,-30.0,25.0,-176.0,-281.0,134.0,327.0,100.0,0.0
51.0,,-61.0,31.0,-200.0,250.0,38.0,312.0,0.0,0.0
39.0,,-78.0,69.0,-202.0,-1369.0,-45.0,175.0,-86.0,0.0
25.0,,-121.0,144.0,-168.0,-7.0,-81.0,197.0,-128.0,0.0
20.0,,-138.0,234.0,-110.0,-151.0,-113.0,-110.0,-158.0,0.0
32.0,,-152.0,307.0,-65.0,-296.0,-99.0,-103.0,-167.0,0.0
56.0,,-182.0,356.0,-49.0,-229.0,-101.0,-121.0,-208.0,0.0
65.0,,-189.0,378.0,-45.0,-349.0,-88.0,-24.0,-220.0,0.0
73.0,,-192.0,380.0,-34.0,342.0,-15.0,175.0,-186.0,0.0
85.0,,-200.0,368.0,0.0,-1066.0,73.0,155.0,-201.0,0.0
111.0,,-162.0,356.0,50.0,264.0,166.0,299.0,-242.0,0.0
117.0,,-133.0,351.0,103.0,-48.0,164.0,81.0,-358.0,0.0
130.0,,-131.0,347.0,140.0,630.0,133.0,-3.0,-544.0,0.0
166.0,,-90.0,372.0,147.0,-440.0,152.0,-240.0,-660.0,0.0
243.0,,-85.0,390.0,128.0,-872.0,208.0,-548.0,-587.0,0.0
316.0,,-90.0,425.0,92.0,-88.0,275.0,-484.0,-455.0,0.0
330.0,,-75.0,452.0,55.0,-178.0,246.0,-565.0,-471.0,0.0
369.0,,-71.0,411.0,36.0,800.0,203.0,-323.0,-540.0,0.0
413.0,,-59.0,336.0,55.0,-1258.0,210.0,-236.0,-473.0,0.0
444.0,,-29.0,244.0,124.0,-95.0,191.0,-131.0,-306.0,0.0
450.0,,3.0,197.0,226.0,-121.0,165.0,12.0,-175.0,0.0
421.0,,23.0,191.0,323.0,310.0,191.0,-40.0,-102.0,0.0
426.0,,74.0,209.0,382.0,397.0,262.0,92.0,-104.0,0.0
408.0,,120.0,249.0,399.0,-340.0,262.0,-120.0,-118.0,0.0
340.0,,153.0,250.0,379.0,354.0,233.0,-155.0,-77.0,0.0
294.0,,199.0,184.0,322.0,-536.0,263.0,-251.0,-66.0,0.0
248.0,,244.0,78.0,227.0,395.0,278.0,-384.0,-56.0,0.0
188.0,,273.0,-6.0,109.0,2.0,247.0,-323.0,3.0,0.0
91.0,,289.0,-34.0,0.0,951.0,184.0,-461.0,46.0,0.0
-7.0,,314.0,7.0,-73.0,-47.0,132.0,-267.0,4.0,0.0
-35.0,,308.0,99.0,-99.0,-490.0,115.0,-188.0,-135.0,0.0
-85.0,,278.0,180.0,-91.0,149.0,107.0,3.0,-274.0,0.0
-179.0,,258.0,243.0,-74.0,6.0,82.0,155.0,-231.0,0.0
-258.0,,228.0,333.0,-61.0,971.0,65.0,96.0,-35.0,0.0
-308.0,,200.0,442.0,-66.0,-422.0,68.0,238.0,64.0,0.0
-357.0,,171.0,529.0,-87.0,81.0,56.0,120.0,-4.0,0.0
-428.0,,155.0,571.0,-98.0,-273.0,60.0,229.0,-118.0,0.0
-480.0,,129.0,544.0,-83.0,551.0,59.0,181.0,-173.0,0.0
-496.0,,110.0,442.0,-47.0,121.0,54.0,112.0,-164.0,0.0
-506.0,,120.0,324.0,-10.0,-202.0,91.0,169.0,-147.0,0.0
-518.0,,116.0,211.0,18.0,285.0,125.0,-88.0,-204.0,0.0
-515.0,,115.0,92.0,35.0,-922.0,116.0,-101.0,-299.0,0.0
-502.0,,95.0,0.0,22.0,444.0,82.0,-271.0,-318.0,0.0
-492.0,,70.0,-100.0,-19.0,30.0,96.0,-275.0,-252.0,0.0
-500.0,,33.0,-224.0,-62.0,542.0,110.0,-303.0,-165.0,0.0
-479.0,,17.0,-343.0,-90.0,-344.0,89.0,-480.0,-154.0,0.0
-451.0,,-13.0,-452.0,-109.0,-312.0,68.0,-371.0,-179.0,0.0
-453.0,,-55.0,-524.0,-137.0,-128.0,31.0,-406.0,-166.0,0.0
-502.0,,-77.0,-562.0,-170.0,-233.0,21.0,-79.0,-152.0,0.0
-537.0,,-116.0,-579.0,-201.0,720.0,32.0,166.0,-182.0,0.0
-512.0,,-135.0,-563.0,-227.0,-724.0,40.0,290.0,-230.0,0.0
-506.0,,-163.0,-522.0,-229.0,-18.0,29.0,432.0,-168.0,0.0
-480.0,,-164.0,-474.0,-201.0,-575.0,-5.0,317.0,-30.0,0.0
-450.0,,-197.0,-439.0,-144.0,711.0,-37.0,352.0,49.0,0.0
-361.0,,-195.0,-408.0,-70.0,757.0,-47.0,57.0,61.0,0.0
-284.0,,-172.0,-404.0,-5.0,62.0,-56.0,-186.0,1.0,0.0
-254.0,,-167.0,-428.0,22.0,-128.0,-75.0,-417.0,-48.0,0.0
-190.0,,-122.0,-464.0,4.0,-1140.0,-93.0,-576.0,14.0,0.0
-147.0,,-118.0,-531.0,-41.0,273.0,-102.0,-363.0,127.0,0.0
-67.0,,-95.0,-591.0,-81.0,6.0,-76.0,-275.0,232.0,0.0
-11.0,,-68.0,-623.0,-98.0,740.0,-55.0,101.0,339.0,0.0
25.0,,-49.0,-605.0,-100.0,-534.0,-59.0,269.0,458.0,0.0
102.0,,-38.0,-552.0,-94.0,-221.0,-52.0,402.0,528.0,0.0
178.0,,-35.0,-484.0,-65.0,-74.0,-47.0,532.0,510.0,0.0
210.0,,-39.0,-394.0,-10.0,-291.0,-69.0,275.0,517.0,0.0
219.0,,-56.0,-318.0,55.0,582.0,-101.0,149.0,558.0,0.0
241.0,,-81.0,-242.0,123.0,-1020.0,-107.0,-175.0,564.0,0.0
260.0,,-130.0,-175.0,189.0,-315.0,-84.0,-240.0,529.0,0.0
248.0,,-149.0,-126.0,251.0,-838.0,-63.0,-232.0,456.0,0.0
180.0,,-179.0,-91.0,299.0,709.0,-69.0,-243.0,404.0,0.0
145.0,,-211.0,-80.0,331.0,253.0,-105.0,-16.0,354.0,0.0
114.0,,-237.0,-55.0,345.0,-365.0,-159.0,-5.0,325.0,0.0
79.0,,-268.0,-31.0,338.0,37.0,-155.0,218.0,343.0,0.0
39.0,,-314.0,-17.0,315.0,-738.0,-74.0,186.0,288.0,0.0
7.0,,-343.0,-17.0,281.0,467.0,4.0,99.0,216.0,0.0
18.0,,-357.0,-9.0,224.0,-995.0,36.0,101.0,201.0,0.0
15.0,,-386.0,3.0,147.0,275.0,65.0,1.0,231.0,0.0
27.0,,-378.0,18.0,82.0,-179.0,63.0,210.0,303.0,0.0
42.0,,-375.0,39.0,43.0,-431.0,-7.0,173.0,322.0,0.0
111.0,,-384.0,17.0,17.0,-239.0,-102.0,269.0,214.0,0.0
152.0,,-381.0,-27.0,-16.0,-509.0,-154.0,317.0,59.0,0.0
156.0,,-367.0,-55.0,-57.0,980.0,-141.0,354.0,-26.0,0.0
191.0,,-385.0,-37.0,-99.0,-54.0,-129.0,635.0,30.0,0.0
225.0,,-367.0,5.0,-146.0,323.0,-59.0,609.0,150.0,0.0
275.0,,-344.0,62.0,-189.0,-1129.0,59.0,703.0,221.0,0.0
284.0,,-336.0,96.0,-230.0,46.0,126.0,519.0,240.0,0.0
326.0,,-283.0,92.0,-261.0,543.0,146.0,410.0,187.0,0.0
353.0,,-265.0,87.0,-257.0,-475.0,136.0,441.0,137.0,0.0
321.0,,-222.0,62.0,-217.0,-179.0,115.0,280.0,140.0,0.0
279.0,,-182.0,21.0,-178.0,-867.0,110.0,388.0,161.0,0.0
233.0,,-154.0,-44.0,-165.0,319.0,103.0,284.0,192.0,0.0
195.0,,-115.0,-124.0,-165.0,-611.0,110.0,415.0,180.0,0.0
111.0,,-119.0,-217.0,-141.0,350.0,145.0,489.0,129.0,0.0
38.0,,-112.0,-311.0,-82.0,130.0,116.0,460.0,16.0,0.0
-7.0,,-116.0,-406.0,1.0,-386.0,69.0,578.0,-127.0,0.0
-42.0,,-120.0,-498.0,91.0,-461.0,73.0,415.0,-164.0,0.0
-116.0,,-120.0,-522.0,159.0,-764.0,113.0,484.0,-119.0,0.0
-171.0,,-125.0,-477.0,183.0,657.0,176.0,275.0,-80.0,0.0
-185.0,,-106.0,-365.0,157.0,-116.0,218.0,103.0,-124.0,0.0
-217.0,,-94.0,-207.0,95.0,182.0,204.0,18.0,-259.0,0.0
-251.0,,-70.0,-71.0,33.0,-1068.0,162.0,-236.0,-311.0,0.0
-295.0,,-54.0,-13.0,-8.0,-718.0,162.0,-206.0,-229.0,0.0
-285.0,,-47.0,-20.0,-36.0,-156.0,162.0,-382.0,-171.0,0.0
-291.0,,-11.0,-61.0,-64.0,52.0,165.0,-317.0,-162.0,0.0
-306.0,,29.0,-87.0,-96.0,202.0,186.0,-253.0,-141.0,0.0
-330.0,,78.0,-67.0,-113.0,-1404.0,148.0,-160.0,-82.0,0.0
-335.0,,135.0,-8.0,-92.0,-472.0,86.0,11.0,21.0,0.0
-315.0,,181.0,75.0,-43.0,-273.0,76.0,-134.0,83.0,0.0
-331.0,,232.0,128.0,-6.0,600.0,114.0,-84.0,21.0,0.0
-314.0,,278.0,171.0,-14.0,-296.0,154.0,-251.0,-52.0,0.0
-321.0,,335.0,200.0,-68.0,-399.0,165.0,-188.0,-54.0,0.0
-295.0,,394.0,208.0,-149.0,-269.0,168.0,-131.0,-101.0,0.0
-268.0,,437.0,228.0,-218.0,-534.0,201.0,-216.0,-222.0,0.0
-258.0,,503.0,263.0,-232.0,145.0,221.0,40.0,-250.0,0.0
-216.0,,537.0,321.0,-189.0,-903.0,210.0,-3.0,-159.0,0.0
-204.0,,579.0,364.0,-122.0,335.0,215.0,101.0,-61.0,0.0
-178.0,,610.0,373.0,-64.0,-196.0,233.0,46.0,-34.0,0.0
-170.0,,610.0,346.0,-21.0,-315.0,219.0,-66.0,-124.0,0.0
-144.0,,615.0,282.0,30.0,-1014.0,194.0,40.0,-208.0,0.0
-115.0,,590.0,217.0,98.0,-556.0,172.0,53.0,-148.0,0.0
-106.0,,570.0,145.0,147.0,819.0,124.0,317.0,-49.0,0.0
-96.0,,546.0,72.0,149.0,-200.0,134.0,286.0,11.0,0.0
-90.0,,511.0,55.0,119.0,110.0,172.0,349.0,57.0,0.0
-74.0,,465.0,80.0,90.0,-812.0,176.0,421.0,68.0,0.0
-41.0,,421.0,94.0,77.0,100.0,217.0,354.0,52.0,0.0
-3.0,,349.0,100.0,88.0,110.0,237.0,500.0,40.0,0.0
24.0,,286.0,97.0,117.0,129.0,191.0,338.0,40.0,0.0
38.0,,227.0,58.0,134.0,-545.0,86.0,347.0,32.0,0.0
-19.0,,155.0,-4.0,117.0,-1384.0,-17.0,232.0,59.0,0.0
-78.0,,94.0,-65.0,71.0,-477.0,-46.0,157.0,82.0,0.0
-94.0,,14.0,-117.0,17.0,-345.0,-38.0,256.0,3.0,0.0
-96.0,,-28.0,-195.0,-35.0,1012.0,31.0,110.0,-82.0,0.0
-116.0,,-100.0,-287.0,-69.0,-757.0,91.0,214.0,-40.0,0.0
-145.0,,-148.0,-359.0,-83.0,-1047.0,91.0,105.0,128.0,0.0
-134.0,,-183.0,-421.0,-90.0,-162.0,49.0,171.0,292.0,0.0
-129.0,,-239.0,-447.0,-96.0,465.0,-7.0,295.0,322.0,0.0
-130.0,,-261.0,-437.0,-88.0,273.0,-24.0,280.0,277.0,0.0
-156.0,,-294.0,-374.0,-49.0,-736.0,-48.0,450.0,261.0,0.0
-158.0,,-316.0,-253.0,15.0,-463.0,-76.0,352.0,232.0,0.0
-161.0,,-346.0,-118.0,99.0,-857.0,-87.0,454.0,181.0,0.0
-200.0,,-359.0,17.0,179.0,790.0,-68.0,369.0,144.0,0.0
-236.0,,-385.0,100.0,226.0,8.0,-99.0,275.0,100.0,0.0
-280.0,,-395.0,101.0,226.0,-259.0,-147.0,282.0,115.0,0.0
-280.0,,-400.0,51.0,167.0,-254.0,-127.0,120.0,167.0,0.0
-291.0,,-418.0,-62.0,67.0,-565.0,-79.0,243.0,121.0,0.0
-304.0,,-412.0,-209.0,-38.0,-269.0,-15.0,101.0,-27.0,0.0
-303.0,,-415.0,-359.0,-119.0,-515.0,15.0,149.0,-140.0,0.0
-313.0,,-414.0,-495.0,-143.0,561.0,55.0,245.0,-137.0,0.0
-302.0,,-415.0,-580.0,-118.0,-553.0,87.0,243.0,-116.0,0.0
-339.0,,-414.0,-595.0,-65.0,-322.0,78.0,428.0,-155.0,0.0
-349.0,,-435.0,-543.0,-8.0,-683.0,41.0,328.0,-182.0,0.0
-314.0,,-446.0,-508.0,29.0,-308.0,-15.0,424.0,-152.0,0.0
-294.0,,-436.0,-479.0,47.0,214.0,-7.0,347.0,-123.0,0.0
-259.0,,-434.0,-468.0,47.0,-396.0,7.0,321.0,-159.0,0.0
-215.0,,-424.0,-487.0,41.0,-691.0,-2.0,415.0,-261.0,0.0
-121.0,,-403.0,-450.0,51.0,-1519.0,14.0,262.0,-293.0,0.0
-64.0,,-386.0,-377.0,92.0,-45.0,14.0,308.0,-131.0,0.0
-36.0,,-371.0,-266.0,158.0,92.0,-13.0,101.0,76.0,0.0
2.0,,-365.0,-148.0,214.0,444.0,-45.0,79.0,149.0,0.0
46.0,,-383.0,-45.0,235.0,-776.0,-44.0,92.0,147.0,0.0
105.0,,-394.0,20.0,213.0,-1061.0,10.0,46.0,148.0,0.0
134.0,,-409.0,-17.0,155.0,-319.0,0.0,243.0,181.0,0.0
217.0,,-425.0,-133.0,86.0,-296.0,-63.0,216.0,301.0,0.0
299.0,,-441.0,-314.0,25.0,365.0,-98.0,358.0,487.0,0.0
342.0,,-448.0,-512.0,-25.0,-1080.0,-124.0,308.0,652.0,0.0
360.0,,-451.0,-639.0,-62.0,-465.0,-107.0,267.0,738.0,0.0
379.0,,-452.0,-662.0,-83.0,-832.0,-74.0,297.0,756.0,0.0
455.0,,-450.0,-595.0,-100.0,0.0,-54.0,201.0,706.0,0.0
476.0,,-410.0,-462.0,-117.0,165.0,-62.0,336.0,674.0,0.0
472.0,,-355.0,-323.0,-140.0,-550.0,-99.0,160.0,728.0,0.0
467.0,,-318.0,-229.0,-166.0,-279.0,-157.0,120.0,752.0,0.0
522.0,,-244.0,-161.0,-182.0,-1302.0,-176.0,84.0,666.0,0.0
577.0,,-174.0,-89.0,-176.0,-350.0,-141.0,57.0,490.0,0.0
557.0,,-96.0,34.0,-140.0,-753.0,-123.0,232.0,348.0,0.0
545.0,,-23.0,201.0,-76.0,317.0,-115.0,166.0,336.0,0.0
527.0,,20.0,378.0,1.0,86.0,-105.0,286.0,340.0,0.0
534.0,,86.0,534.0,74.0,-212.0,-77.0,206.0,294.0,0.0
465.0,,132.0,619.0,116.0,-59.0,-80.0,214.0,279.0,0.0
409.0,,159.0,653.0,117.0,-855.0,-108.0,271.0,238.0,0.0
404.0,,198.0,654.0,98.0,176.0,-101.0,125.0,123.0,0.0
383.0,,207.0,643.0,72.0,-257.0,-114.0,232.0,16.0,0.0
350.0,,214.0,620.0,39.0,346.0,-138.0,118.0,-34.0,0.0
281.0,,213.0,567.0,0.0,-1030.0,-149.0,205.0,19.0,0.0
254.0,,213.0,468.0,-29.0,-513.0,-157.0,208.0,61.0,0.0
211.0,,238.0,350.0,-21.0,496.0,-121.0,88.0,-34.0,0.0
165.0,,246.0,265.0,8.0,202.0,-96.0,123.0,-138.0,0.0
118.0,,281.0,232.0,24.0,498.0,-102.0,-44.0,-141.0,0.0
125.0,,291.0,256.0,18.0,-1040.0,-68.0,33.0,-49.0,0.0
138.0,,294.0,273.0,-5.0,-323.0,-24.0,-75.0,75.0,0.0
88.0,,306.0,279.0,-22.0,-116.0,28.0,-105.0,75.0,0.0
66.0,,312.0,266.0,-23.0,1016.0,77.0,-101.0,-79.0,0.0
47.0,,330.0,269.0,-5.0,103.0,101.0,-267.0,-270.0,0.0
80.0,,329.0,332.0,23.0,-859.0,120.0,-186.0,-352.0,0.0
73.0,,309.0,426.0,42.0,17.0,112.0,-312.0,-307.0,0.0
53.0,,288.0,547.0,50.0,-5.0,86.0,-227.0,-298.0,0.0
99.0,,280.0,650.0,43.0,761.0,78.0,-131.0,-331.0,0.0
146.0,,244.0,685.0,17.0,-346.0,81.0,-16.0,-368.0,0.0
154.0,,216.0,639.0,-20.0,-87.0,44.0,243.0,-451.0,0.0
139.0,,189.0,572.0,-49.0,-393.0,21.0,240.0,-515.0,0.0
148.0,,162.0,478.0,-75.0,402.0,39.0,375.0,-545.0,0.0
155.0,,150.0,374.0,-124.0,694.0,25.0,282.0,-541.0,0.0
184.0,,139.0,322.0,-192.0,95.0,-3.0,210.0,-505.0,0.0
189.0,,141.0,325.0,-239.0,753.0,-5.0,138.0,-449.0,0.0
233.0,,168.0,376.0,-228.0,-154.0,9.0,11.0,-393.0,0.0
265.0,,149.0,450.0,-157.0,284.0,42.0,206.0,-442.0,0.0
245.0,,135.0,522.0,-41.0,-106.0,46.0,282.0,-571.0,0.0
258.0,,150.0,560.0,98.0,487.0,34.0,570.0,-643.0,0.0
236.0,,119.0,557.0,217.0,522.0,74.0,670.0,-577.0,0.0
213.0,,143.0,507.0,273.0,376.0,105.0,694.0,-449.0,0.0
155.0,,148.0,404.0,264.0,226.0,140.0,750.0,-359.0,0.0
106.0,,158.0,294.0,216.0,-145.0,183.0,506.0,-386.0,0.0
80.0,,173.0,238.0,157.0,1230.0,169.0,528.0,-480.0,0.0
